fund_id,category,total_return,annual_return,volatility,max_drawdown,observations,var95,es95,benchmark_return,excess_return,tracking_error,information_ratio,peer_rank,peer_count,peer_median,period
DEMO-HS04,Hisse Senedi,0.2745075669,0.0842118245,0.3062326316,-0.4763360688,756,0.0305314155,0.0378665297,0.3793378112,-0.1048302443,0.0509519000,-0.4772606102,4,6,0.3627314344,3Y
DEMO-HS05,Hisse Senedi,0.5397624466,0.1547409692,0.3048692933,-0.4104266964,756,0.0286180232,0.0373539693,0.3793378112,0.1604246354,0.0498325923,0.7690334707,1,6,0.3627314344,3Y
DEMO-HS06,Hisse Senedi,0.4658019666,0.1359479532,0.3057483169,-0.4082340551,756,0.0292176856,0.0372863751,0.3793378112,0.0864641553,0.0500830369,0.4424025989,2,6,0.3627314344,3Y
DEMO-BA01,Borçlanma Araçları,0.7384301708,0.2024095499,0.0674650977,-0.0855462946,756,0.0059451136,0.0073791955,0.9261100497,-0.1876798789,0.0110247409,-3.0957165655,6,6,0.8940396243,3Y
DEMO-BA02,Borçlanma Araçları,0.7992510111,0.2162716534,0.0673863109,-0.0863505551,756,0.0058899083,0.0072434304,0.9261100497,-0.1268590387,0.0106381156,-2.1304008101,5,6,0.8940396243,3Y
DEMO-BA03,Borçlanma Araçları,0.9058853724,0.2398398537,0.0672963445,-0.0799894627,756,0.0055336894,0.0070660228,0.9261100497,-0.0202246773,0.0104623990,-0.3308974885,3,6,0.8940396243,3Y
DEMO-BA04,Borçlanma Araçları,0.9346209440,0.2460399356,0.0668716143,-0.0761795256,756,0.0057479866,0.0072235517,0.9261100497,0.0085108942,0.0107209567,0.1401253223,2,6,0.8940396243,3Y
DEMO-BA05,Borçlanma Araçları,0.8821938763,0.2346810579,0.0673940027,-0.0789751197,756,0.0057701682,0.0074074768,0.9261100497,-0.0439161735,0.0114281778,-0.6674929764,4,6,0.8940396243,3Y
DEMO-BA06,Borçlanma Araçları,0.9971091700,0.2593137209,0.0666177367,-0.0774389253,756,0.0057538892,0.0070906939,0.9261100497,0.0709991203,0.0111905368,1.0804743908,1,6,0.8940396243,3Y
DEMO-AL01,Altın,0.3239901352,0.0980655077,0.2420666487,-0.4029022612,756,0.0240012373,0.0300800560,0.4562607680,-0.1322706328,0.0379298544,-0.8122821412,5,6,0.4243813904,3Y
DEMO-AL02,Altın,0.3066607474,0.0932536810,0.2422502019,-0.4225148822,756,0.0239679482,0.0300723929,0.4562607680,-0.1496000206,0.0395999299,-0.8882545607,6,6,0.4243813904,3Y
DEMO-AL03,Altın,0.3939903637,0.1170859525,0.2407876331,-0.4429474188,756,0.0238471161,0.0306102948,0.4562607680,-0.0622704043,0.0377744944,-0.3688215884,4,6,0.4243813904,3Y
DEMO-AL04,Altın,0.4547724171,0.1330915984,0.2415121213,-0.3976405857,756,0.0244408167,0.0299486505,0.4562607680,-0.0014883510,0.0389536488,0.0117599683,3,6,0.4243813904,3Y
DEMO-AL05,Altın,0.6215311004,0.1748301793,0.2413615866,-0.3466891213,756,0.0246460430,0.0300798035,0.4562607680,0.1652703324,0.0390294281,0.9379418559,1,6,0.4243813904,3Y
DEMO-AL06,Altın,0.4884677695,0.1417731127,0.2435508011,-0.3938294353,756,0.0249070233,0.0307015520,0.4562607680,0.0322070014,0.0363695865,0.2364983860,2,6,0.4243813904,3Y
DEMO-PP01,Para Piyasası,0.8841436043,0.2351072381,0.0085374945,-0.0006858672,756,0.0000452734,0.0002518882,1.0495447329,-0.1654011286,0.0012923009,-21.7230910449,6,6,1.0191040031,3Y
DEMO-PP02,Para Piyasası,0.9365646925,0.2464571022,0.0086190414,-0.0006185845,756,0.0000207925,0.0002080811,1.0495447329,-0.1129800404,0.0013749703,-13.7579921617,5,6,1.0191040031,3Y
DEMO-PP03,Para Piyasası,0.9915372013,0.2581414611,0.0086318484,-0.0005229440,756,0.0000000000,0.0001701709,1.0495447329,-0.0580075317,0.0013494184,-7.0978693980,4,6,1.0191040031,3Y
DEMO-PP04,Para Piyasası,1.0466708049,0.2696460470,0.0086637419,-0.0005598485,756,0.0000000000,0.0001814236,1.0495447329,-0.0028739280,0.0014650121,-0.3185642512,3,6,1.0191040031,3Y
DEMO-PP05,Para Piyasası,1.0972303489,0.2800159399,0.0085402006,-0.0007285170,756,0.0000000000,0.0001023894,1.0495447329,0.0476856159,0.0013607876,5.6397126414,2,6,1.0191040031,3Y
DEMO-PP06,Para Piyasası,1.1657461106,0.2938060602,0.0086141162,-0.0006384034,756,0.0000000000,0.0000713582,1.0495447329,0.1162013776,0.0014036509,13.1098054217,1,6,1.0191040031,3Y
DEMO-DG01,Değişken,-0.0944802790,-0.0325408472,0.1579525916,-0.3239437126,756,0.0156730337,0.0205572303,0.0470749221,-0.1415552011,0.0264330318,-1.8198175216,6,6,-0.0034872953,3Y
DEMO-DG02,Değişken,-0.0031484451,-0.0010505851,0.1575856537,-0.2826054255,756,0.0163462212,0.0203177942,0.0470749221,-0.0502233672,0.0273933394,-0.5890644632,3,6,-0.0034872953,3Y
DEMO-DG03,Değişken,-0.0298451869,-0.0100490406,0.1590666573,-0.2985468991,756,0.0167302098,0.0208459439,0.0470749221,-0.0769201090,0.0267887421,-0.9312350031,5,6,-0.0034872953,3Y
DEMO-DG04,Değişken,-0.0038261454,-0.0012770119,0.1568283531,-0.2967782632,756,0.0160613535,0.0201263683,0.0470749221,-0.0509010675,0.0275504228,-0.5983461062,4,6,-0.0034872953,3Y
DEMO-DG05,Değişken,0.0559286606,0.0183057419,0.1576109436,-0.2592555190,756,0.0162420155,0.0201972871,0.0470749221,0.0088537385,0.0284076283,0.1077237843,2,6,-0.0034872953,3Y
DEMO-DG06,Değişken,0.0657743324,0.0214609120,0.1584617747,-0.2819321506,756,0.0161681375,0.0203392891,0.0470749221,0.0186994103,0.0264373044,0.2378230279,1,6,-0.0034872953,3Y
DEMO-HS01,Hisse Senedi,0.2324310402,0.0437834357,0.3053194968,-0.5570927943,1229,0.0298131279,0.0387293863,0.7739615972,-0.5415305570,0.0518636814,-1.4077949905,6,6,0.7000999953,ALL
DEMO-HS02,Hisse Senedi,0.6612304794,0.1096805967,0.3032910622,-0.5034711194,1229,0.0296507250,0.0386112990,0.7739615972,-0.1127311178,0.0509389106,-0.2430496640,4,6,0.7000999953,ALL
DEMO-HS03,Hisse Senedi,0.4442707418,0.0782888398,0.3035273941,-0.5472033344,1229,0.0297183739,0.0386011272,0.7739615972,-0.3296908554,0.0520244969,-0.7883699945,5,6,0.7000999953,ALL
DEMO-HS04,Hisse Senedi,0.7389695112,0.1201356174,0.3060732104,-0.5414780652,1229,0.0305314155,0.0388601050,0.7739615972,-0.0349920860,0.0511774332,-0.0425003429,3,6,0.7000999953,ALL
DEMO-HS05,Hisse Senedi,0.7977943563,0.1278026292,0.3042219835,-0.4950941935,1229,0.0298466996,0.0382451045,0.7739615972,0.0238327591,0.0497799935,0.0821885549,1,6,0.7000999953,ALL
DEMO-HS06,Hisse Senedi,0.7822592171,0.1257974474,0.3041527417,-0.4928210220,1229,0.0296375210,0.0382358890,0.7739615972,0.0082976199,0.0508978217,0.0448288335,2,6,0.7000999953,ALL
DEMO-BA01,Borçlanma Araçları,1.5229192461,0.2089495352,0.0673240345,-0.0855462946,1229,0.0059744149,0.0076268445,1.9783219528,-0.4554027067,0.0109744334,-3.0973361027,6,6,1.9095255452,ALL
DEMO-BA02,Borçlanma Araçları,1.6804369374,0.2240560641,0.0670570588,-0.0863505551,1229,0.0058388077,0.0074487336,1.9783219528,-0.2978850154,0.0105803074,-2.0397912158,5,6,1.9095255452,ALL
DEMO-BA03,Borçlanma Araçları,1.8589131692,0.2403424679,0.0671623576,-0.0799894627,1229,0.0055962170,0.0073948185,1.9783219528,-0.1194087836,0.0107651441,-0.7752949521,4,6,1.9095255452,ALL
DEMO-BA04,Borçlanma Araçları,1.9668174310,0.2498006735,0.0672755827,-0.0761795256,1229,0.0058138172,0.0074633513,1.9783219528,-0.0115045218,0.0111249186,-0.0661124842,2,6,1.9095255452,ALL
DEMO-BA05,Borçlanma Araçları,1.9601379212,0.2492231999,0.0673878464,-0.0789751197,1229,0.0057234265,0.0075244291,1.9783219528,-0.0181840316,0.0112003162,-0.1062892457,3,6,1.9095255452,ALL
DEMO-BA06,Borçlanma Araçları,2.1351562680,0.2640240670,0.0666907638,-0.0774389253,1229,0.0057538892,0.0072999230,1.9783219528,0.1568343152,0.0110823379,0.9521237304,1,6,1.9095255452,ALL
DEMO-AL01,Altın,0.9762439595,0.1499012691,0.2392608142,-0.4029022612,1229,0.0234062457,0.0292151118,1.2614270141,-0.2851830546,0.0378919823,-0.7099646610,5,6,1.1395013324,ALL
DEMO-AL02,Altın,0.9114163852,0.1420639648,0.2395891673,-0.4225148822,1229,0.0237791216,0.0293515676,1.2614270141,-0.3500106289,0.0398551108,-0.8450100863,6,6,1.1395013324,ALL
DEMO-AL03,Altın,1.0911776889,0.1633073716,0.2388782056,-0.4429474188,1229,0.0228019655,0.0293279030,1.2614270141,-0.1702493252,0.0383453879,-0.4015169789,4,6,1.1395013324,ALL
DEMO-AL04,Altın,1.1878249758,0.1741343512,0.2387391233,-0.3976405857,1229,0.0237011932,0.0292983857,1.2614270141,-0.0736020383,0.0386355545,-0.1595022801,3,6,1.1395013324,ALL
DEMO-AL05,Altın,1.6736914057,0.2234238045,0.2387219228,-0.3466891213,1229,0.0237980450,0.0289787514,1.2614270141,0.4122643916,0.0393370857,0.8889549284,1,6,1.1395013324,ALL
DEMO-AL06,Altın,1.3341853507,0.1898280942,0.2410512977,-0.3938294353,1229,0.0240830255,0.0297898460,1.2614270141,0.0727583366,0.0371872645,0.2065714704,2,6,1.1395013324,ALL
DEMO-PP01,Para Piyasası,1.7619009216,0.2315935459,0.0084218457,-0.0006858672,1229,0.0000343250,0.0002433116,2.1629950326,-0.4010941110,0.0013289996,-20.9391058864,6,6,2.0904138405,ALL
DEMO-PP02,Para Piyasası,1.8815731756,0.2423519559,0.0085209203,-0.0006888954,1229,0.0000312737,0.0002114234,2.1629950326,-0.2814218570,0.0014086745,-13.5747890968,5,6,2.0904138405,ALL
DEMO-PP03,Para Piyasası,2.0267433135,0.2549358349,0.0084696243,-0.0005652570,1229,0.0000000000,0.0001539644,2.1629950326,-0.1362517191,0.0013777206,-6.5585796502,4,6,2.0904138405,ALL
DEMO-PP04,Para Piyasası,2.1540843675,0.2655851002,0.0085425997,-0.0005831709,1229,0.0000000000,0.0001636919,2.1629950326,-0.0089106651,0.0014260699,-0.4048958363,3,6,2.0904138405,ALL
DEMO-PP05,Para Piyasası,2.2873186810,0.2763673911,0.0084256947,-0.0007285170,1229,0.0000000000,0.0000956898,2.1629950326,0.1243236484,0.0013664733,5.7909630634,2,6,2.0904138405,ALL
DEMO-PP06,Para Piyasası,2.4448663555,0.2886778888,0.0084978297,-0.0006384034,1229,0.0000000000,0.0000666859,2.1629950326,0.2818713229,0.0013815534,12.6828390761,1,6,2.0904138405,ALL
DEMO-DG01,Değişken,0.2840870743,0.0526081470,0.1624373912,-0.3239437126,1229,0.0156730337,0.0211595429,0.6015859644,-0.3174988901,0.0271148882,-1.6506212362,6,6,0.4784754570,ALL
DEMO-DG02,Değişken,0.4761556466,0.0831276938,0.1625197628,-0.2826054255,1229,0.0164562784,0.0208334585,0.6015859644,-0.1254303178,0.0275152981,-0.5872074382,4,6,0.4784754570,ALL
DEMO-DG03,Değişken,0.4807952673,0.0838248607,0.1620886814,-0.2985468991,1229,0.0167063188,0.0208133531,0.6015859644,-0.1207906971,0.0272139564,-0.5724950909,3,6,0.4784754570,ALL
DEMO-DG04,Değişken,0.4414282910,0.0778533599,0.1599536176,-0.2967782632,1229,0.0160613535,0.0205298614,0.6015859644,-0.1601576734,0.0275425105,-0.7789055000,5,6,0.4784754570,ALL
DEMO-DG05,Değişken,0.7105555342,0.1163581695,0.1603980623,-0.2592555190,1229,0.0162352149,0.0205692885,0.6015859644,0.1089695698,0.0278265135,0.4935090151,2,6,0.4784754570,ALL
DEMO-DG06,Değişken,0.7245676080,0.1182271639,0.1618263326,-0.2819321506,1229,0.0161681375,0.0209271189,0.6015859644,0.1229816436,0.0267110924,0.5853711476,1,6,0.4784754570,ALL
